predictor_a,predictor_b,length_bin,n_common_proteins,protein_mean_score_spearman
DisoFLAG,DisorderUnetLM,<200,3847,0.8239791685343647
DisoFLAG,DisorderUnetLM,200-499,8715,0.8703057027013087
DisoFLAG,DisorderUnetLM,500-999,5675,0.8266290035303359
DisoFLAG,DisorderUnetLM,>=1000,1958,0.7571052799553191
DisoFLAG,DisPredict3,<200,3835,0.7668140420167973
DisoFLAG,DisPredict3,200-499,8705,0.757446413091141
DisoFLAG,DisPredict3,500-999,5670,0.5651711532001703
DisoFLAG,DisPredict3,>=1000,1958,0.6082146428109946
DisorderUnetLM,DisPredict3,<200,3835,0.7000904738321655
DisorderUnetLM,DisPredict3,200-499,8705,0.7576505198697636
DisorderUnetLM,DisPredict3,500-999,5670,0.5978364929430884
DisorderUnetLM,DisPredict3,>=1000,2386,0.5171501914751109
