dataset_a,dataset_b,comparison_level,match_mode,min_identity,min_coverage,n_proteins_overlap,n_residues_compared,annotation_type_a,annotation_type_b,metric,value,threshold_used,notes
trizod,plddt,mmseqs_98,mmseqs,98.0,0.8,8,1091,continuous,continuous,spearman,0.499411,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,plddt,mmseqs_98,mmseqs,98.0,0.8,8,1091,continuous,continuous,pearson,0.355132,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,plddt,mmseqs_98,mmseqs,98.0,0.8,8,1091,continuous,continuous,mae,0.160313,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,plddt,mmseqs_98,mmseqs,98.0,0.8,8,1091,continuous,continuous,rmse,0.269830,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,plddt,mmseqs_95,mmseqs,95.0,0.8,8,1091,continuous,continuous,spearman,0.499411,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,plddt,mmseqs_95,mmseqs,95.0,0.8,8,1091,continuous,continuous,pearson,0.355132,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,plddt,mmseqs_95,mmseqs,95.0,0.8,8,1091,continuous,continuous,mae,0.160313,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,plddt,mmseqs_95,mmseqs,95.0,0.8,8,1091,continuous,continuous,rmse,0.269830,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,plddt,mmseqs_90,mmseqs,90.0,0.8,8,1091,continuous,continuous,spearman,0.499411,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,plddt,mmseqs_90,mmseqs,90.0,0.8,8,1091,continuous,continuous,pearson,0.355132,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,plddt,mmseqs_90,mmseqs,90.0,0.8,8,1091,continuous,continuous,mae,0.160313,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,plddt,mmseqs_90,mmseqs,90.0,0.8,8,1091,continuous,continuous,rmse,0.269830,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,plddt,mmseqs_85,mmseqs,85.0,0.8,8,1091,continuous,continuous,spearman,0.499411,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,plddt,mmseqs_85,mmseqs,85.0,0.8,8,1091,continuous,continuous,pearson,0.355132,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,plddt,mmseqs_85,mmseqs,85.0,0.8,8,1091,continuous,continuous,mae,0.160313,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,plddt,mmseqs_85,mmseqs,85.0,0.8,8,1091,continuous,continuous,rmse,0.269830,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,plddt,mmseqs_80,mmseqs,80.0,0.8,8,1091,continuous,continuous,spearman,0.499411,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,plddt,mmseqs_80,mmseqs,80.0,0.8,8,1091,continuous,continuous,pearson,0.355132,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,plddt,mmseqs_80,mmseqs,80.0,0.8,8,1091,continuous,continuous,mae,0.160313,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,plddt,mmseqs_80,mmseqs,80.0,0.8,8,1091,continuous,continuous,rmse,0.269830,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,disprot,exact,none,,,0,0,continuous,binary,no_overlap,,0.5,no exact ID or exact sequence overlap with enough comparable residues
trizod,disprot,mmseqs_100,none,100.0,0.8,0,0,continuous,binary,no_overlap,,0.5,"no MMseqs hit passed identity, coverage, and comparable-residue filters"
trizod,disprot,mmseqs_98,none,98.0,0.8,0,0,continuous,binary,no_overlap,,0.5,"no MMseqs hit passed identity, coverage, and comparable-residue filters"
trizod,disprot,mmseqs_95,none,95.0,0.8,0,0,continuous,binary,no_overlap,,0.5,"no MMseqs hit passed identity, coverage, and comparable-residue filters"
trizod,disprot,mmseqs_90,none,90.0,0.8,0,0,continuous,binary,no_overlap,,0.5,"no MMseqs hit passed identity, coverage, and comparable-residue filters"
trizod,disprot,mmseqs_85,none,85.0,0.8,0,0,continuous,binary,no_overlap,,0.5,"no MMseqs hit passed identity, coverage, and comparable-residue filters"
trizod,disprot,mmseqs_80,none,80.0,0.8,0,0,continuous,binary,no_overlap,,0.5,"no MMseqs hit passed identity, coverage, and comparable-residue filters"
chezod,softdis,exact,sequence,,,1,72,continuous,continuous,spearman,0.332540,0.5,CheZOD labels negated following existing project convention
chezod,softdis,exact,sequence,,,1,72,continuous,continuous,pearson,0.284659,0.5,CheZOD labels negated following existing project convention
chezod,softdis,exact,sequence,,,1,72,continuous,continuous,mae,7.105375,0.5,CheZOD labels negated following existing project convention
chezod,softdis,exact,sequence,,,1,72,continuous,continuous,rmse,7.360978,0.5,CheZOD labels negated following existing project convention
chezod,softdis,mmseqs_100,mmseqs,100.0,0.8,4,276,continuous,continuous,spearman,0.366461,0.5,CheZOD labels negated following existing project convention; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
chezod,softdis,mmseqs_100,mmseqs,100.0,0.8,4,276,continuous,continuous,pearson,0.405844,0.5,CheZOD labels negated following existing project convention; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
chezod,softdis,mmseqs_100,mmseqs,100.0,0.8,4,276,continuous,continuous,mae,5.929943,0.5,CheZOD labels negated following existing project convention; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
